StartTime,EndTime,HydroPowerProduction
27/04/2023 15:40,27/04/2023 15:40,1142
27/04/2023 15:43,27/04/2023 15:43,1137.9
27/04/2023 15:46,27/04/2023 15:46,1140.2
27/04/2023 15:49,27/04/2023 15:49,1132.8
27/04/2023 15:52,27/04/2023 15:52,1119
27/04/2023 15:55,27/04/2023 15:55,1128.6
27/04/2023 15:58,27/04/2023 15:58,1158.3
27/04/2023 16:01,27/04/2023 16:01,1162.2
27/04/2023 16:04,27/04/2023 16:04,1199.6
27/04/2023 16:07,27/04/2023 16:07,1184.2
27/04/2023 16:10,27/04/2023 16:10,1182.2
27/04/2023 16:13,27/04/2023 16:13,1157.8
27/04/2023 16:16,27/04/2023 16:16,1165.2
27/04/2023 16:19,27/04/2023 16:19,1164.2
27/04/2023 16:22,27/04/2023 16:22,1156.8
27/04/2023 16:25,27/04/2023 16:25,1166.2
27/04/2023 16:28,27/04/2023 16:28,1174.7
27/04/2023 16:31,27/04/2023 16:31,1190
27/04/2023 16:34,27/04/2023 16:34,1180.8
27/04/2023 16:37,27/04/2023 16:37,1162.7
27/04/2023 16:40,27/04/2023 16:40,1169.3
27/04/2023 16:43,27/04/2023 16:43,1156.2
27/04/2023 16:46,27/04/2023 16:46,1160.8
27/04/2023 16:49,27/04/2023 16:49,1136.7
27/04/2023 16:52,27/04/2023 16:52,1137.2
27/04/2023 16:55,27/04/2023 16:55,1140.3
27/04/2023 16:58,27/04/2023 16:58,1142.8
27/04/2023 17:01,27/04/2023 17:01,1149.8
27/04/2023 17:04,27/04/2023 17:04,1134.3
27/04/2023 17:07,27/04/2023 17:07,1165.3
27/04/2023 17:10,27/04/2023 17:10,1192.7
27/04/2023 17:13,27/04/2023 17:13,1223
27/04/2023 17:16,27/04/2023 17:16,1225.2
27/04/2023 17:19,27/04/2023 17:19,1255.5
27/04/2023 17:22,27/04/2023 17:22,1233.2
27/04/2023 17:25,27/04/2023 17:25,1235.9
27/04/2023 17:28,27/04/2023 17:28,1279.8
27/04/2023 17:31,27/04/2023 17:31,1282.6
27/04/2023 17:34,27/04/2023 17:34,1284.6
27/04/2023 17:37,27/04/2023 17:37,1291.5
27/04/2023 17:40,27/04/2023 17:40,1220.7
27/04/2023 17:43,27/04/2023 17:43,1238.2
27/04/2023 17:46,27/04/2023 17:46,1262.5
27/04/2023 17:49,27/04/2023 17:49,1297.6
27/04/2023 17:52,27/04/2023 17:52,1364.5
27/04/2023 17:55,27/04/2023 17:55,1416
27/04/2023 17:58,27/04/2023 17:58,1444.6
27/04/2023 18:01,27/04/2023 18:01,1573.6
